Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Contraceptive prevalence, any methods (% of women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Start-up procedures to register a business (number) [IC.REG.PROC],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]",Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],Net migration [SM.POP.NETM],"Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net ODA received per capita (current US$) [DT.ODA.ODAT.PC.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
2000,YR2000,Afghanistan,AFG,20779957,2.975057223,652860,..,..,..,..,..,..,55.841,7.485,153.951,5.3,12.4,128.7,..,27,..,..,..,0.1,12084.4,..,..,0.037054937,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,100,..,..,..,..,170000,6.545249083,..,..,..
2000,YR2000,Albania,ALB,3089027,-0.637356834,28750,..,3408708296,1100,12296005867,3980,..,73.955,2.157,19.0372,57.5,99.1,27.2,17,95,96.58268738,71.07807922,0.976209998,0.1,7693,..,580.4947642,1.026213109,1449.647413,3480355189,6.950036134,5.643782073,24.51536066,19.39564563,20.11536376,43.33887425,30.79625919,..,..,..,1.246360242,0.952019386,..,38.84660981,100,1122051223,0.837012703,..,..,143000000,102.8964804,1126.683318,-143000000,0.050018136
2000,YR2000,Algeria,DZA,31042238,1.35841747,2381740,..,49486751018,1590,2.49232E+11,8030,..,70.64,2.514,11.7556,64,92,39.7,5.4,80,80.16638947,65.11698151,0.964209974,0.1,15790,..,869.6097556,2.531711792,683.2948063,54790379459,3.8,22.67797944,8.395050531,54.37145463,42.06972792,20.78863096,23.56391262,..,..,0.520704565,3.433385635,0.277041908,..,56.94795383,100,25461612754,8.590960465,..,..,280100000,6.441546087,1765.026718,..,0.339163189
2000,YR2000,American Samoa,ASM,57816,1.335500631,200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.445115097,..,..,100,..,..,..,..,..,..,..,..,..
2000,YR2000,Andorra,AND,65390,1.575272637,470,..,..,..,..,..,..,..,..,..,..,..,7.7,..,97,..,..,..,..,160,..,..,7.952286282,..,1429049198,3.528362361,28.7415529,..,..,..,..,..,..,..,..,..,36.00397614,..,..,100,..,..,..,..,..,..,21854.2468,..,..
2000,YR2000,Angola,AGO,16395477,3.277215347,1246700,..,5903014328,360,45824413133,2790,3.2,46.522,6.639,196.6992,..,..,203.9,..,32,..,12.26628017,..,0.8,777086.1,..,438.5499123,0.754476372,75.26465988,9129634978,3.054624234,418.0189915,5.664689564,72.12295494,89.68583119,62.86127827,30.49321898,52.78838514,..,..,6.392603154,0.157397106,..,120.0595646,100,9763465564,23.10306625,..,266290000,878620000,18.43252206,556.8386317,-878620000,324.9968716
2000,YR2000,Antigua and Barbuda,ATG,76007,1.769346866,440,..,767360091.5,10100,1211227442,15940,..,73.94,2.2,61.9748,..,99.9,15.5,..,95,..,79.66178131,..,..,94.5,..,..,4.341705369,..,826370370.4,6.203431254,1.553300159,1.59689853,13.89073144,98.60164934,74.76694156,28.99784869,..,..,..,..,28.94127552,..,55.54410183,100,..,..,..,1558148.148,43115925.93,129.9880289,10872.29295,-43115925.93,0.771779797
2000,YR2000,Argentina,ARG,36870796,1.100608135,2780400,..,2.75544E+11,7470,4.17017E+11,11310,3.2,73.576,2.542,66.3552,..,99.1,19.6,..,91,97.34647369,95.93660736,1.015869975,0.3,333780,..,1669.526337,3.577628213,2088.80763,2.84204E+11,-0.788998939,1.037287101,4.679910944,25.99083601,10.98637523,11.63606955,17.53348744,14.17761025,..,16.12904122,1.148822677,17.59645109,..,18.11904312,100,1.50063E+11,8.982162146,..,267700000,10418314339,2.02219658,7708.099115,-9517286140,..
2000,YR2000,Armenia,ARM,3069597,-0.630760588,29740,..,2031449553,660,8411785419,2740,..,71.409,1.648,39.3926,60.5,96.8,30.7,2.6,92,..,92.1519928,1.071140051,0.1,3326.4,..,656.3076521,1.159761363,1297.564469,1911563669,5.900000003,-1.373675998,..,..,22.16141881,50.07191142,21.9223314,..,..,..,3.560024873,0.569652439,..,61.5203155,100,1018418174,2.454292201,..,3520000,104188500,70.33170784,622.7409229,-104188500,-0.790883769
2000,YR2000,Aruba,ABW,90866,2.06484056,180,..,1817009854,20000,2872847339,31620,..,73.787,1.872,43.593,..,..,..,..,..,97.14286041,96.51616669,0.992659986,..,4.2,..,..,..,..,1873452514,7.616588194,1.048271456,0.410021828,15.82535158,74.40032444,70.67285327,25.49590276,..,..,..,..,16.51018679,..,272.496034,100,..,..,..,43743016.76,-127932960.9,..,20617.75047,130558659.2,4.044021312
